49578,2279,73404,1301030,5009,35388,7,185,2469,72,56.88,103.52,74.53,0.00,5366.16,4095.36,7453.44,482.95,0.00,5366.16,5849.11,1270.80,2451608
49578,4121,73404,1301030,5009,35388,7,255,2469,68,70.07,135.93,62.52,765.24,4251.36,4764.76,9243.24,34.86,765.24,3486.12,3520.98,-1278.64,2451608
49578,7913,73404,1301030,5009,35388,7,226,2469,24,97.40,118.82,36.83,0.00,883.92,2337.60,2851.68,35.35,0.00,883.92,919.27,-1453.68,2451608
49578,7105,73404,1301030,5009,35388,7,245,2469,34,94.53,188.11,52.67,0.00,1790.78,3214.02,6395.74,89.53,0.00,1790.78,1880.31,-1423.24,2451608
49578,17863,73404,1301030,5009,35388,7,5,2469,37,93.46,183.18,42.13,0.00,1558.81,3458.02,6777.66,140.29,0.00,1558.81,1699.10,-1899.21,2451608
49578,2765,73404,1301030,5009,35388,7,27,2469,5,46.40,72.38,48.49,0.00,242.45,232.00,361.90,21.82,0.00,242.45,264.27,10.45,2451608
49578,5657,73404,1301030,5009,35388,7,181,2469,85,50.45,72.14,12.26,0.00,1042.10,4288.25,6131.90,93.78,0.00,1042.10,1135.88,-3246.15,2451608
49578,15629,73404,1301030,5009,35388,7,262,2469,30,36.39,37.48,28.48,0.00,854.40,1091.70,1124.40,34.17,0.00,854.40,888.57,-237.30,2451608
49578,4615,73404,1301030,5009,35388,7,58,2469,81,76.48,127.72,61.30,4369.46,4965.30,6194.88,10345.32,11.91,4369.46,595.84,607.75,-5599.04,2451608
49578,13226,73404,1301030,5009,35388,7,209,2469,60,32.58,63.85,60.01,3024.50,3600.60,1954.80,3831.00,5.76,3024.50,576.10,581.86,-1378.70,2451608
49578,4463,73404,1301030,5009,35388,7,122,2469,87,92.36,93.28,12.12,0.00,1054.44,8035.32,8115.36,31.63,0.00,1054.44,1086.07,-6980.88,2451608
49578,8035,73404,1301030,5009,35388,7,45,2469,43,47.83,63.13,29.67,880.30,1275.81,2056.69,2714.59,35.59,880.30,395.51,431.10,-1661.18,2451608
58208,2077,26240,49051,4662,7073,4,113,8165,62,64.59,90.42,17.17,0.00,1064.54,4004.58,5606.04,21.29,0.00,1064.54,1085.83,-2940.04,2451608
58208,8054,26240,49051,4662,7073,4,27,8165,42,62.64,92.08,41.43,0.00,1740.06,2630.88,3867.36,139.20,0.00,1740.06,1879.26,-890.82,2451608
58208,7103,26240,49051,4662,7073,4,105,8165,22,61.34,62.56,24.39,0.00,536.58,1349.48,1376.32,42.92,0.00,536.58,579.50,-812.90,2451608
58208,1315,26240,49051,4662,7073,4,117,8165,55,69.18,125.21,21.28,0.00,1170.40,3804.90,6886.55,11.70,0.00,1170.40,1182.10,-2634.50,2451608
58208,10556,,49051,4662,7073,,,8165,68,85.08,,,,,,,,,,,2166.48,2451608
58208,2243,26240,49051,4662,7073,4,13,8165,17,1.46,1.72,0.22,0.00,3.74,24.82,29.24,0.11,0.00,3.74,3.85,-21.08,2451608
58208,6713,26240,49051,4662,7073,4,194,8165,56,23.86,26.96,0.00,0.00,0.00,1336.16,1509.76,0.00,0.00,0.00,0.00,-1336.16,2451608
