75589,16681,56132,980525,4918,5311,10,131,365,75,14.25,20.66,20.66,0.00,1549.50,1068.75,1549.50,30.99,0.00,1549.50,1580.49,480.75,2452022
75589,7865,56132,980525,4918,5311,10,106,365,64,18.77,19.70,5.51,0.00,352.64,1201.28,1260.80,17.63,0.00,352.64,370.27,-848.64,2452022
75589,3107,56132,980525,4918,5311,10,47,365,9,10.00,19.10,1.91,0.00,17.19,90.00,171.90,0.17,0.00,17.19,17.36,-72.81,2452022
75589,7695,56132,980525,4918,5311,10,280,365,64,56.27,61.33,46.61,0.00,2983.04,3601.28,3925.12,268.47,0.00,2983.04,3251.51,-618.24,2452022
,6941,,980525,,,,,365,,,38.94,13.62,0.00,585.66,1249.58,,,0.00,,620.79,-663.92,2452022
75589,8281,56132,980525,4918,5311,10,122,365,90,88.38,143.17,78.74,0.00,7086.60,7954.20,12885.30,212.59,0.00,7086.60,7299.19,-867.60,2452022
75589,13687,56132,980525,4918,5311,10,166,365,67,50.76,67.51,14.85,0.00,994.95,3400.92,4523.17,29.84,0.00,994.95,1024.79,-2405.97,2452022
75589,14505,56132,980525,4918,5311,10,196,365,21,47.78,90.30,58.69,1035.29,1232.49,1003.38,1896.30,0.00,1035.29,197.20,197.20,-806.18,2452022
75589,13611,56132,980525,4918,5311,10,213,365,46,11.59,15.64,12.82,0.00,589.72,533.14,719.44,23.58,0.00,589.72,613.30,56.58,2452022
75589,9855,56132,980525,4918,5311,10,131,365,80,70.96,90.11,43.25,0.00,3460.00,5676.80,7208.80,103.80,0.00,3460.00,3563.80,-2216.80,2452022
75589,11793,56132,980525,4918,5311,10,247,365,82,92.96,119.91,52.76,0.00,4326.32,7622.72,9832.62,129.78,0.00,4326.32,4456.10,-3296.40,2452022
67071,17069,25235,659289,5343,5397,8,65,1123,45,51.01,84.67,27.94,0.00,1257.30,2295.45,3810.15,50.29,0.00,1257.30,1307.59,-1038.15,2452022
67071,4471,25235,659289,5343,5397,8,119,1123,95,84.36,155.22,144.35,0.00,13713.25,8014.20,14745.90,822.79,0.00,13713.25,14536.04,5699.05,2452022
