36024,8853,63868,902907,5894,9634,4,21,5233,20,517.00,31.02,548.02,93.10,303.40,217.14,281.86,18.00,427.52,2452080
41292,15081,63686,1195368,624,44727,1,1,13376,4,32.72,0.00,32.72,96.29,39.28,20.94,3.18,8.60,135.57,2452080
38440,164,13822,1265868,5013,911,10,31,14692,1,26.51,2.38,28.89,58.31,6.36,15.64,5.43,5.44,67.05,2452080
59578,7181,19078,1475950,621,21339,8,18,15693,1,58.67,5.28,63.95,84.16,85.33,39.89,11.64,7.14,174.77,2452080
37992,4898,7775,918611,1015,7019,10,14,17309,77,1945.79,0.00,1945.79,70.49,1845.69,1653.92,23.34,268.53,1916.18,2452080
48249,17372,26694,324740,2424,48555,8,8,17423,30,3147.30,188.83,3336.13,49.17,702.90,1793.96,960.87,392.47,940.90,2452080
58909,10525,86870,842373,4276,20979,7,5,17452,15,270.15,0.00,270.15,48.99,127.35,218.82,46.19,5.14,176.34,2452080
48997,10253,13895,1010529,3963,49397,8,25,23660,27,1873.26,93.66,1966.92,68.26,0.00,524.51,485.55,863.20,161.92,2452080
54921,16659,67714,713852,4790,16128,7,24,26426,58,2702.22,108.08,2810.30,92.51,827.08,1567.28,760.40,374.54,1027.67,2452080
35939,8071,40362,1117141,6604,20,4,19,31759,40,4698.80,422.89,5121.69,78.13,0.00,2302.41,23.96,2372.43,501.02,2452080
59783,9985,94997,231036,6777,43718,1,15,38859,38,1707.34,68.29,1775.63,89.01,513.76,1058.55,330.88,317.91,671.06,2452080
57295,12239,26060,122202,331,25260,1,8,41230,8,161.36,9.68,171.04,72.07,80.64,103.27,12.77,45.32,162.39,2452080
30027,3775,82135,951898,2102,17059,4,25,41886,35,2935.45,117.41,3052.86,76.46,1697.50,968.69,590.02,1376.74,1891.37,2452080
33912,14345,2502,589651,6863,34875,8,16,42124,48,270.24,2.70,272.94,53.25,89.76,78.36,176.52,15.36,145.71,2452080
57713,7451,23023,1614844,649,12007,10,35,43113,7,35.84,0.71,36.55,53.68,2.17,34.76,0.42,0.66,56.56,2452080
47920,4467,6392,1481562,6779,28796,8,3,43328,86,1049.20,31.47,1080.67,3.70,1166.16,0.00,136.39,912.81,1201.33,2452080
43895,12315,91785,1441028,1189,44950,4,2,44787,7,114.73,10.32,125.05,20.88,68.81,87.19,12.94,14.60,100.01,2452080
49228,11269,98992,21750,2644,44338,10,21,47294,29,217.50,10.87,228.37,67.58,319.87,171.82,41.11,4.57,398.32,2452080
56407,4937,41565,379205,3505,23005,4,15,53708,36,59.76,1.19,60.95,81.42,65.88,16.13,34.90,8.73,148.49,2452080
53287,9837,39042,1724737,1397,32457,8,2,54779,32,2217.28,177.38,2394.66,20.80,1603.20,1618.61,197.56,401.11,1801.38,2452080
44155,14215,5180,1044912,3516,17720,1,15,56829,6,364.08,10.92,375.00,59.09,143.40,174.75,106.02,83.31,213.41,2452080
52490,15009,29261,1247089,3694,19499,4,7,68443,9,668.70,46.80,715.50,49.95,384.12,133.74,438.66,96.30,480.87,2452080
50244,11119,57350,1773198,6953,10755,4,34,74490,7,350.91,7.01,357.92,63.73,215.95,224.58,80.85,45.48,286.69,2452080
58207,1633,85609,556182,6755,7728,2,21,79216,7,173.67,6.94,180.61,42.34,97.23,164.98,7.47,1.22,146.51,2452080
52923,8857,19382,373615,197,11226,10,15,79633,1,3.72,0.03,3.75,96.88,9.81,0.14,2.72,0.86,106.72,2452080
43839,17839,1636,424554,1575,16949,1,34,82374,37,2990.34,29.90,3020.24,78.97,190.55,1136.32,1093.87,760.15,299.42,2452080
45091,16725,72205,29284,2710,20936,1,16,82539,19,350.74,28.05,378.79,45.90,286.90,256.04,30.30,64.40,360.85,2452080
42183,2271,73829,1441527,712,19850,7,21,86051,9,538.02,16.14,554.16,44.20,25.02,516.49,18.73,2.80,85.36,2452080
52930,7513,76166,6026,6701,44176,1,26,101262,65,807.95,8.07,816.02,75.71,1885.65,403.97,52.51,351.47,1969.43,2452080
38598,3367,45775,1660980,2499,21218,8,21,102635,36,1574.64,110.22,1684.86,25.40,894.60,1322.69,73.06,178.89,1030.22,2452080
41704,9597,52426,814978,5975,6572,4,21,105502,1,34.33,0.68,35.01,60.99,14.10,31.24,0.95,2.14,75.77,2452080
36190,1617,10009,1815776,3367,4958,10,2,108694,50,39.00,1.17,40.17,51.12,39.00,9.75,19.89,9.36,91.29,2452080
44424,9469,38199,26738,2477,49416,10,16,110765,12,351.12,31.60,382.72,72.36,140.40,175.56,175.56,0.00,244.36,2452080
38076,13225,50577,22209,357,12905,1,29,111750,34,940.10,84.60,1024.70,31.98,252.96,131.61,509.34,299.15,369.54,2452080
45703,5957,22083,1919502,2257,45412,1,14,114123,12,773.04,15.46,788.50,1.97,23.76,363.32,200.76,208.96,41.19,2452080
38835,9971,46658,1176072,3066,37660,7,13,120198,15,146.70,1.46,148.16,34.19,210.90,90.95,20.07,35.68,246.55,2452080
54647,3901,48815,1001358,788,6171,1,34,123059,13,1198.08,95.84,1293.92,33.95,78.52,1030.34,129.15,38.59,208.31,2452080
,10937,,,,656,10,,123205,15,249.90,19.99,269.89,96.62,,134.94,,32.19,308.16,2452080
