1096921,M,U,Secondary,500,High Risk,3,6,2
44068,M,S,Advanced Degree,2500,High Risk,3,3,4
156470,M,M,Secondary,6500,High Risk,3,2,2
63965,M,S,College,10000,Good,0,5,6
707609,M,W,2 yr Degree,3000,Unknown,4,1,6
1367956,M,D,Unknown,500,Good,5,5,3
1017185,F,D,Primary,7500,Good,1,6,5
1672207,M,U,Unknown,9000,Unknown,0,3,4
1011410,M,S,Secondary,3000,Good,1,1,6
787106,F,D,Unknown,1500,Unknown,6,2,1
206491,M,M,Unknown,9500,Low Risk,2,5,6
1604876,M,D,College,8500,Good,2,5,2
1886239,F,S,College,500,High Risk,3,0,4
1272014,M,M,College,7000,High Risk,3,3,1
188771,M,D,2 yr Degree,5000,Unknown,3,1,4
1331588,F,M,College,2000,Unknown,4,2,4
1165456,F,D,Secondary,5000,Low Risk,4,3,1
1908716,M,M,Secondary,5500,Unknown,3,3,2
725165,M,D,Secondary,3500,Good,0,4,3
1871101,M,U,Secondary,3000,Good,0,5,4
1375665,F,D,Secondary,7500,Unknown,0,5,6
679571,F,D,Primary,9500,Low Risk,4,4,6
1371114,M,W,Unknown,7500,Unknown,6,1,4
960272,F,M,Secondary,4000,Low Risk,3,2,6
1244739,M,M,Unknown,7000,Low Risk,0,0,4
781701,F,M,Advanced Degree,5000,Low Risk,2,1,6
282952,F,M,Advanced Degree,9500,Low Risk,6,6,2
505824,M,D,Secondary,500,High Risk,3,2,3
1906612,M,M,Unknown,5000,Unknown,5,0,5
693260,M,U,4 yr Degree,4000,Unknown,6,3,4
805448,M,U,2 yr Degree,7000,Low Risk,4,4,2
1639188,M,S,Advanced Degree,7500,Good,4,5,4
1426148,M,U,Unknown,6000,Unknown,6,0,2
1609810,M,U,2 yr Degree,7000,Unknown,3,4,2
422790,F,W,Unknown,10000,High Risk,0,0,5
31153,F,D,4 yr Degree,2500,High Risk,0,4,4
1483376,M,M,2 yr Degree,500,High Risk,4,1,6
567394,M,U,Secondary,6000,High Risk,3,0,3
1782317,M,M,4 yr Degree,4500,Good,0,2,2
1807099,M,M,College,7500,Unknown,6,2,2
1587401,F,D,Secondary,1000,Good,4,2,2
