53279,5986,76480,1842562,2244,16326,8,103,168002,52,29.52,33.94,15.61,0.00,811.72,1535.04,1764.88,0.00,0.00,811.72,811.72,-723.32,2451532
41777,7070,75103,1337830,1357,36484,8,183,233697,16,55.70,57.37,16.63,0.00,266.08,891.20,917.92,18.62,0.00,266.08,284.70,-625.12,2451101
34938,9769,10883,649845,4007,36569,1,122,174621,50,96.98,160.01,108.80,3372.80,5440.00,4849.00,8000.50,20.67,3372.80,2067.20,2087.87,-2781.80,2452617
35388,2257,69108,438102,3449,12043,1,148,90158,60,61.99,115.92,66.07,1546.03,3964.20,3719.40,6955.20,24.18,1546.03,2418.17,2442.35,-1301.23,2450865
69041,2011,27211,1662146,3928,18063,10,9,170692,9,26.44,30.93,26.29,203.48,236.61,237.96,278.37,2.31,203.48,33.13,35.44,-204.83,2450868
70661,12127,25886,1826775,4464,48553,2,44,4055,26,77.57,145.05,76.87,0.00,1998.62,2016.82,3771.30,119.91,0.00,1998.62,2118.53,-18.20,2452021
37295,5948,5172,1346604,2083,31962,2,246,60444,95,8.09,10.03,9.92,0.00,942.40,768.55,952.85,84.81,0.00,942.40,1027.21,173.85,2451864
44338,5395,34005,,,29433,10,223,127047,94,93.31,171.69,,,,,16138.86,,,,,,
62312,7921,29727,1087969,5411,29253,8,36,126543,16,55.63,73.43,46.99,0.00,751.84,890.08,1174.88,0.00,0.00,751.84,751.84,-138.24,2451060
40406,13728,14020,534391,362,10686,4,287,58710,96,52.00,102.96,33.97,260.88,3261.12,4992.00,9884.16,240.01,260.88,3000.24,3240.25,-1991.76,2452358
50151,17509,18860,248156,2699,10442,10,249,149762,11,97.45,126.68,122.87,0.00,1351.57,1071.95,1393.48,67.57,0.00,1351.57,1419.14,279.62,2451153
64366,13052,45779,839764,949,18534,4,110,214620,6,75.63,146.72,52.81,0.00,316.86,453.78,880.32,25.34,0.00,316.86,342.20,-136.92,2451734
33188,6768,90497,1912284,918,6352,1,287,35218,16,11.88,21.85,9.61,0.00,153.76,190.08,349.60,3.07,0.00,153.76,156.83,-36.32,2452610
37879,2857,80800,1615999,6398,13150,1,244,41507,20,30.25,56.56,28.28,0.00,565.60,605.00,1131.20,39.59,0.00,565.60,605.19,-39.40,2451486
