192873,M,S,College,8000,Low Risk,6,4,0
865719,M,U,College,4000,High Risk,0,1,3
506923,M,S,Advanced Degree,1000,High Risk,6,5,1
1705070,F,U,Primary,9500,Low Risk,3,1,6
54159,M,U,4 yr Degree,7000,High Risk,2,1,0
564568,F,W,Secondary,3000,Unknown,2,0,2
722029,M,U,4 yr Degree,7500,Unknown,2,4,2
91362,F,M,Secondary,3000,Low Risk,2,2,0
478049,M,U,Secondary,5000,Low Risk,1,5,1
783427,M,W,Advanced Degree,6000,Unknown,6,5,2
889559,M,U,Unknown,4000,Unknown,4,1,3
988037,M,W,Advanced Degree,7500,Low Risk,1,4,3
802031,M,M,4 yr Degree,9000,Good,3,6,2
938520,F,U,College,4000,High Risk,6,2,3
938520,F,U,College,4000,High Risk,6,2,3
1371863,M,S,Primary,9500,Unknown,6,6,4
1162063,M,S,Unknown,500,High Risk,4,1,4
64638,F,W,College,2000,High Risk,4,1,0
1528689,M,U,College,9500,Unknown,6,3,5
1242690,F,U,4 yr Degree,6500,Unknown,4,3,4
1642785,M,D,College,4500,Low Risk,6,6,5
797783,M,S,Unknown,8500,Low Risk,2,6,2
319164,F,S,2 yr Degree,10000,Unknown,0,1,1
1636772,F,M,2 yr Degree,1500,Low Risk,5,6,5
1718945,M,D,College,8500,Unknown,5,1,6
1363742,F,M,Primary,1500,High Risk,5,6,4
61805,M,D,Unknown,1500,Good,4,1,0
268921,M,M,Advanced Degree,1000,Good,6,6,0
923780,F,U,Advanced Degree,8500,Unknown,3,2,3
1885755,M,D,College,10000,High Risk,0,6,6
960456,F,D,Advanced Degree,500,High Risk,3,3,3
339322,F,M,2 yr Degree,4000,High Risk,4,1,1
722240,F,U,4 yr Degree,9000,Unknown,2,4,2
594525,M,D,Secondary,7000,Good,1,1,2
901730,F,U,Advanced Degree,1000,Good,0,2,3
434038,F,W,2 yr Degree,500,High Risk,0,4,1
745309,M,U,Secondary,4000,Good,0,5,2
988037,M,W,Advanced Degree,7500,Low Risk,1,4,3
1449095,M,D,College,1000,Unknown,6,1,5
1626669,M,U,Primary,9500,Low Risk,3,6,5
951525,M,D,Secondary,7000,Unknown,1,3,3
1411910,F,U,Primary,5500,Good,0,1,5
1525861,M,M,Primary,9500,Low Risk,6,3,5
562528,F,W,Primary,8500,Low Risk,2,0,2
1091195,M,D,2 yr Degree,4500,Unknown,5,6,3
1016046,F,D,Unknown,7500,Low Risk,6,4,3
1297344,F,S,2 yr Degree,7000,High Risk,0,5,4
1794957,M,W,Secondary,1500,High Risk,5,3,6
396345,M,D,Primary,1500,Unknown,0,3,1
964643,M,S,4 yr Degree,500,Low Risk,4,3,3
1105081,M,M,Unknown,3500,Low Risk,1,0,4
142578,F,W,Advanced Degree,8500,Low Risk,4,3,0
1795730,F,U,Secondary,7000,High Risk,5,3,6
319164,F,S,2 yr Degree,10000,Unknown,0,1,1
306352,F,M,2 yr Degree,8500,High Risk,5,0,1
252536,F,D,4 yr Degree,4000,Good,3,6,0
1242690,F,U,4 yr Degree,6500,Unknown,4,3,4
1473309,M,U,Secondary,4000,Good,4,2,5
590142,F,M,4 yr Degree,5500,Low Risk,0,1,2
1738939,M,U,Unknown,1000,High Risk,2,2,6
938135,M,D,Unknown,1000,High Risk,6,2,3
1070200,F,U,2 yr Degree,4500,Good,2,6,3
467436,F,D,4 yr Degree,9000,Low Risk,6,4,1
605521,M,M,College,5500,Good,3,1,2
485876,F,D,Primary,1000,Unknown,2,5,1
1456800,F,U,College,6000,Good,1,2,5
1784266,F,D,2 yr Degree,5000,High Risk,3,3,6
1515100,F,U,Secondary,2500,High Risk,4,3,5
964643,M,S,4 yr Degree,500,Low Risk,4,3,3
1270413,M,S,Advanced Degree,4500,Unknown,2,4,4
1437506,F,D,Advanced Degree,8000,High Risk,4,1,5
1765082,F,M,2 yr Degree,8000,Good,0,3,6
1483283,M,S,Advanced Degree,5000,Unknown,5,2,5
861214,F,S,Primary,2000,Unknown,6,0,3
1439434,F,S,College,2000,Good,5,1,5
231422,F,M,Primary,3500,Low Risk,6,5,0
345893,M,S,College,1000,Unknown,5,1,1
722029,M,U,4 yr Degree,7500,Unknown,2,4,2
186117,M,W,Advanced Degree,9500,Good,5,4,0
103001,M,M,2 yr Degree,6000,Low Risk,4,2,0
1456800,F,U,College,6000,Good,1,2,5
994626,F,D,Unknown,4500,High Risk,2,4,3
1601697,M,W,College,1000,Good,6,5,5
1258656,F,D,Advanced Degree,500,Unknown,0,4,4
436938,F,W,Unknown,1000,Good,1,4,1
666309,M,U,4 yr Degree,9500,Unknown,6,2,2
861541,M,M,Advanced Degree,4000,Unknown,6,0,3
54119,M,U,Primary,7000,High Risk,2,1,0
1415561,M,M,College,1500,Unknown,0,1,5
73556,F,D,Advanced Degree,5500,Good,6,1,0
878338,F,W,4 yr Degree,4000,Unknown,2,1,3
1550196,F,D,4 yr Degree,3000,Unknown,3,4,5
941877,M,W,College,8000,Good,0,3,3
1785122,F,M,Advanced Degree,1000,Unknown,3,3,6
486920,F,U,Unknown,8000,Unknown,2,5,1
173045,M,D,Primary,6500,Unknown,2,4,0
1165457,M,W,College,5000,Good,5,1,4
999646,F,D,4 yr Degree,500,High Risk,3,4,3
1878971,M,M,2 yr Degree,1500,High Risk,6,5,6
1409116,F,D,Secondary,5500,High Risk,6,0,5
1688270,F,U,Primary,9500,Low Risk,0,1,6
499742,F,M,Secondary,10000,Good,5,5,1
1161746,F,D,College,8500,Low Risk,4,1,4
805195,M,D,Advanced Degree,1500,Unknown,3,6,2
1301960,F,U,College,10000,Low Risk,1,5,4
1741098,F,W,Advanced Degree,6500,Unknown,2,2,6
536380,F,U,2 yr Degree,1500,Unknown,4,6,1
1451690,F,U,College,9500,Good,0,2,5
1797806,F,D,Unknown,1500,Good,6,3,6
700032,F,M,2 yr Degree,500,Good,6,3,2
722129,M,U,Primary,8500,Unknown,2,4,2
829820,F,U,2 yr Degree,7500,Good,1,0,3
1915890,F,U,Advanced Degree,5000,Good,6,6,6
564169,M,U,2 yr Degree,10000,High Risk,2,0,2
805195,M,D,Advanced Degree,1500,Unknown,3,6,2
495011,M,M,4 yr Degree,6000,Low Risk,4,5,1
81277,M,W,Primary,1000,High Risk,0,2,0
659776,F,D,College,3000,Unknown,5,2,2
1326018,F,W,Primary,2000,Unknown,5,5,4
238289,M,U,Primary,2500,High Risk,0,6,0
1049623,M,S,4 yr Degree,7500,Low Risk,5,5,3
674514,F,S,Unknown,8000,Low Risk,1,3,2
1557801,M,M,College,7500,Good,5,4,5
774324,F,S,Advanced Degree,1000,Low Risk,5,5,2
727477,M,W,2 yr Degree,6500,Unknown,3,4,2
1319420,F,U,Advanced Degree,4500,High Risk,4,5,4
496393,M,S,College,6000,High Risk,4,5,1
1723932,F,M,4 yr Degree,4000,Unknown,6,1,6
600825,M,D,Secondary,2000,Low Risk,2,1,2
1885900,F,U,College,1000,Unknown,0,6,6
264424,F,S,2 yr Degree,9000,Good,5,6,0
163146,F,D,4 yr Degree,5500,Good,1,4,0
658403,M,S,Advanced Degree,3000,High Risk,5,2,2
1656810,F,U,4 yr Degree,4500,Unknown,1,0,6
1686295,M,D,Unknown,5000,Good,0,1,6
1866353,M,S,Secondary,1500,Low Risk,4,5,6
1098156,F,D,Unknown,4000,Good,0,0,4
1548261,M,M,Primary,9500,Low Risk,3,4,5
1159750,F,U,Advanced Degree,4000,Good,4,1,4
536497,M,W,Secondary,2500,Unknown,4,6,1
1268639,M,U,College,2000,High Risk,2,4,4
1918164,F,S,College,1500,High Risk,6,6,6
1268200,F,U,Primary,9000,Low Risk,2,4,4
279952,F,M,College,10000,Unknown,0,0,1
1415737,M,W,Advanced Degree,2500,Unknown,0,1,5
1390822,F,M,Unknown,4500,Low Risk,3,0,5
1800189,M,U,Unknown,8500,Low Risk,6,3,6
1654184,F,S,Secondary,6000,Low Risk,1,0,6
169086,F,D,2 yr Degree,8000,Good,2,4,0
469661,M,M,2 yr Degree,5000,Unknown,6,4,1
840599,M,U,2 yr Degree,4500,Good,3,0,3
992127,M,W,Secondary,7000,Good,2,4,3
455130,F,U,Advanced Degree,1000,Low Risk,4,4,1
277012,F,M,College,9000,Low Risk,0,0,1
1501383,M,S,College,4500,Good,2,3,5
746104,F,S,4 yr Degree,9500,Good,0,5,2
187494,F,S,2 yr Degree,9500,Low Risk,5,4,0
681980,F,U,2 yr Degree,1500,Unknown,2,3,2
764176,F,D,Advanced Degree,8500,Low Risk,3,5,2
970017,M,W,College,9000,Good,5,3,3
440421,M,M,Advanced Degree,6000,High Risk,1,4,1
1686295,M,D,Unknown,5000,Good,0,1,6
413795,M,D,College,6000,Unknown,3,3,1
311516,F,D,Secondary,5500,High Risk,6,0,1
548511,M,M,Unknown,8000,Unknown,6,6,1
1315774,F,S,Advanced Degree,8500,Unknown,3,5,4
142578,F,W,Advanced Degree,8500,Low Risk,4,3,0
966643,M,S,Secondary,5000,High Risk,4,3,3
355737,M,W,Unknown,1000,High Risk,0,2,1
466140,F,U,Primary,10000,Good,6,4,1
1100558,F,W,Secondary,1500,High Risk,0,0,4
721911,M,M,Primary,7000,Unknown,2,4,2
1801716,F,D,Advanced Degree,9500,High Risk,6,3,6
340993,M,S,College,6000,Unknown,4,1,1
64638,F,W,College,2000,High Risk,4,1,0
1579383,M,S,4 yr Degree,1500,Good,2,5,5
1682082,F,M,Advanced Degree,5000,Low Risk,6,0,6
67271,M,M,Primary,1000,Good,5,1,0
1819967,M,W,2 yr Degree,10000,Unknown,2,4,6
1860423,M,S,2 yr Degree,9000,Good,3,5,6
779269,M,U,College,6500,Good,6,5,2
1513691,M,M,Secondary,2500,Low Risk,4,3,5
1705070,F,U,Primary,9500,Low Risk,3,1,6
392982,F,M,Primary,7500,Good,0,3,1
