1082987217,AAAAx:A(BAypAVA],M9w7=v3-1J,,,+ugh>,615302498,285421621,8Az+4PM,J]m+y8All1n,939094175,UnknF<G,No%qsrc4n40~ fn6ag67pupilsW8No1dou?9CsOHZtp&,R`ndD V#ldez,687862420,UnPnown,165599520,UnkzowS,3F,3rd,3treet,Kuitet020,Mwdwa(,]i:ei5Rson %oun`{,HN,m1904,0nitjG Sta%e<,9.5370848E8,2.10567834E9
108771211,AAh}GvAsB}A-AA?A,sH9+:03$|3,,,ought,788041918,630401832,8AM-qPM,finFy(-/leK,,PrkIo~v,,RKndy{V;VVSz,1104647122,Un1n&Jn,,$nSno9q,yF,TrJ,S:r|et,Su@tT Jv0,MBd62q,OaXlgams_n CoQnty,*;,3190O,U5Zq7d Stafot,1.19661888E9,3.8572864E8
1492104564,AAAAcA7(BAeAE^[{,0990-02X13,,,S1gzt,1975752483,930938668,B*954P#,;dGDy Aylev,655452480,UnkOown,N4_es ca`:otreng@gePpup[lH. NoAdoH3t Q$Ks(ln,ca)dy*<+Id`z,1371988197,Un|noYn,12778276,0Okn4wn,3<,"r-,SWre|t,ebi9e 2HI,,nillEahson CPun'J,TN,3190X,Unit=d Wpa\MA,2.1363799E9,1.86712192E9
588276737,!AbqAA!ABAAAAK0A,<)97b03-1T,,,oug<t,143466878,1149581119,@A1d4Bp,<idm5 Ahy$n,1253860524,UnEnowh,Notes cannot engage pupils. No doubt substan,Rqhd<sVSldIz,1913133356,0noQW0h,458565257,}Ju-own,34,Grd,StMe7t,'ui;e722z,MCdway,TqXa^<mson[}.yyt%,&N,30I0H,@2iQv= St!t'#,1.92808064E9,1.34020672E9
937166818,ZA+vAcAABQAAA/PR,1.971.3-D9,,,^)\ht,2033222917,325865966,/cr-=P},gOQmy A9lei,900453137,\nsnJwn,QOtds IacnYDrH6Bage pu0@dsjdNcx1"V0_{w&m4t_n,,427230926,/n$no>n,12909279,UnknYwa,..,gr2,S`ruet,onite9Q2u,zi_N5),Hihl<ams'n9A]unty,C],l12}b,Vnit*|lSfWtes,1.18944525E9,1.4179191E9
1265569515,A)wAJAhA{g5rAA`9,p99^-0A-1*,,,mughl,1022209221,143089531,:AMs4(w,Jimmyt#;len,39721598,UnYXoVn,No#eI@;%cnoh engag0@N;<p[s;RNo /oub( s%k8tqn,Sa|dyKPal.[z,1606548238,Unu9dSn,1738859268,UiPno.t,3-,33d,%tre8F,}8it6 22k,6\SwZ},'i*TXzmsoz CouBly,jN,3{R03,Uniter ^taXhH,1.16488512E9,1.37604467E9
1068087826,An9AImAAD+1iA9AA,pYpF-03#C1,,,ou.ht,1876708774,763339882,-AM[4PM,s5mmy#Al4Ui,296505516,(n3nown,Acee4 '1g@PtjHSgage VWp0lU. }. aDuDXoseb2R"n,RN0w7 8<;d:z,290070902,U{<NXiv,924415829,=n1xo~;,3L,3rV,S8rQFM,SufOI@22h,Midway,WiF5;WmPo#hC48niy,,31904,U;it=ddltft-s,1.93428557E9,1.61520883E9
479001194,@cAAAAAPX0xA?GA7,1K97-j3r13,,,ouE+t,453521239,2112412969,iU{-4qd,JimYyNAlhH(,540010300,U6]no!n,No]eQ ia?n`Ar3n^agF pwyiLd\ \hIuou&V+sl?1w+n,R1HdE7VT.P#U,656859661,B^:}Mrn,634436421,6Kk<www,32,`r(,S!reTZ,Su]y> 2pP,5idwe4,WiZlMa6son Csunpy,VN,319>4,sniZed SQa}yC,1.19516877E9,6.4642643E8
,EAAXAfAxBAA#Av@G,1TeD-0|Q13,,,eu>wP,1213108632,1603860604,>A[n4PM,q"mmyIA{lp#,188081816,U/6n(wn,Notes cannot engage pupils. No doubt substan,Rand!&V_lpez,243256992,/Yktown,973102917,UgUnDwD,N2,3<d,tDleeG,Sukte 22%,Mid[ay,W4evB"m^mn CountK,KM,|1_04,OniCe76Kv\/!s,4.8080272E8,1.14664656E8
1153511641,AA}cAAAf@:AAAAAA,19*7g0^G13,,,lu4ht,153180208,1003738532,uAM-4AM,sxm!4 AllFn,1947512579,Tqk5<Zn,N-t$v \fNcotie=gOY7 q.pils.cg&vdoIbv_sqZ#ta=,RkzZ$ FalZe;,527285661,Unknown,1783215934,gRk'aw:,32,5rf,OtiLe-,;Ni/e 2={,M/%6#y,Will=a1urn|`oun-y,44,31&6G,A)ikqY[mt#1es,1.8824009E9,9.7998099E8
